id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,,0,none,118,177.5,0.0,188.7
1,security_studies,D,D,1,generated,259,280.6,0.0,289.6
2,professional_law,B,,0,none,174,219.5,0.0,229.3
3,international_law,C,B,0,generated,93,130.4,0.0,138.0
4,professional_medicine,A,A,1,generated,200,246.1,0.0,252.2
5,high_school_physics,D,,0,none,98,128.1,0.0,132.3
6,virology,A,,0,none,86,128.8,0.0,133.3
7,miscellaneous,B,,0,none,96,130.1,0.0,138.4
8,professional_law,D,,0,none,233,278.5,0.0,283.3
9,high_school_biology,C,B,0,generated,71,130.3,0.0,134.6
10,us_foreign_policy,B,C,0,generated,96,131.6,0.0,136.0
11,machine_learning,C,,0,none,99,134.2,0.0,138.1
12,clinical_knowledge,C,,0,none,78,129.2,0.0,134.0
13,professional_law,A,,0,none,420,439.1,0.0,446.6
14,high_school_geography,B,,0,none,84,140.0,0.0,150.0
15,business_ethics,C,,0,none,90,135.3,0.0,140.3
16,high_school_physics,C,,0,none,93,139.9,0.0,144.4
17,anatomy,B,D,0,generated,95,134.8,0.0,140.0
18,medical_genetics,C,,0,none,99,134.5,0.0,140.4
19,moral_scenarios,B,A,0,generated,131,171.1,0.0,177.4
20,machine_learning,B,C,0,generated,57,111.2,0.0,119.2
21,high_school_us_history,D,,0,none,378,487.1,0.0,494.1
22,formal_logic,D,,0,none,98,172.9,0.0,181.2
23,high_school_us_history,A,,0,none,238,415.9,0.0,422.4
24,high_school_european_history,C,,0,none,211,387.0,0.0,396.0
25,college_biology,C,,0,none,109,251.2,0.0,262.9
26,virology,B,,0,none,78,193.0,0.0,201.6
27,high_school_psychology,A,,0,none,208,370.7,0.0,376.7
28,elementary_mathematics,B,,0,none,93,193.2,0.0,198.9
29,prehistory,B,,0,none,91,193.2,0.0,201.0
30,miscellaneous,B,D,0,generated,57,141.3,0.0,149.3
31,moral_scenarios,C,,0,none,139,266.7,0.0,272.8
32,anatomy,B,,0,none,109,221.6,0.0,229.0
33,professional_psychology,B,,0,none,61,137.9,0.0,143.8
34,high_school_statistics,D,,0,none,198,353.3,0.0,361.1
35,philosophy,A,,0,none,90,185.4,0.0,196.2
36,professional_law,C,,0,none,423,665.4,0.0,675.8
37,professional_accounting,C,,0,none,87,183.5,0.0,195.8
38,high_school_psychology,B,,0,none,158,255.6,0.0,260.9
39,high_school_us_history,A,,0,none,320,471.6,0.0,478.9
40,astronomy,D,,0,none,95,183.6,0.0,196.7
41,professional_medicine,B,,0,none,102,219.5,0.0,230.1
42,professional_medicine,D,,0,none,416,605.2,0.0,615.1
43,moral_scenarios,D,,0,none,143,260.3,0.0,270.6
44,professional_psychology,C,,0,none,94,175.8,0.0,182.0
45,philosophy,D,,0,none,82,170.0,0.0,175.4
46,miscellaneous,C,,0,none,59,133.3,0.0,137.4
47,moral_scenarios,C,,0,none,129,214.4,0.0,219.3
48,nutrition,C,,0,none,63,134.8,0.0,139.8
49,conceptual_physics,C,C,1,generated,92,172.4,0.0,177.2
50,high_school_geography,D,,0,none,84,172.4,0.0,176.8
51,philosophy,D,,0,none,98,177.2,0.0,182.4
52,high_school_world_history,B,,0,none,344,542.8,0.0,551.8
53,miscellaneous,A,,0,none,60,146.4,0.0,159.0
