id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,,0,none,118,203.3,0.0,214.7
1,security_studies,D,,0,none,259,345.9,0.0,354.9
2,professional_law,B,,0,none,174,269.7,0.0,281.2
3,international_law,C,,0,none,93,159.2,0.0,168.8
4,professional_medicine,A,,0,none,200,301.5,0.0,309.7
5,high_school_physics,D,B,0,generated,98,158.4,0.0,165.6
6,virology,A,,0,none,86,157.2,0.0,166.2
7,miscellaneous,B,,0,none,96,159.0,0.0,166.4
8,professional_law,D,,0,none,233,342.8,0.0,356.6
9,high_school_biology,C,,0,none,71,155.3,0.0,165.0
10,us_foreign_policy,B,,0,none,96,161.9,0.0,169.5
11,machine_learning,C,,0,none,99,159.0,0.0,167.5
12,clinical_knowledge,C,,0,none,78,156.4,0.0,162.5
13,professional_law,A,D,0,generated,420,543.0,0.0,553.3
14,high_school_geography,B,,0,none,84,163.5,0.0,176.3
15,business_ethics,C,,0,none,90,166.9,0.0,177.3
16,high_school_physics,C,A,0,generated,93,167.0,0.0,178.6
17,anatomy,B,,0,none,95,165.3,0.0,176.4
18,medical_genetics,C,C,1,generated,99,160.2,0.0,169.1
19,moral_scenarios,B,A,0,generated,131,197.5,0.0,201.4
20,machine_learning,B,,0,none,57,121.8,0.0,127.0
21,high_school_us_history,D,D,1,generated,378,504.5,0.0,511.4
22,formal_logic,D,,0,none,98,162.4,0.0,168.9
23,high_school_us_history,A,,0,none,238,349.7,0.0,354.4
24,high_school_european_history,C,,0,none,211,323.7,0.0,327.7
25,college_biology,C,,0,none,109,207.8,0.0,211.8
26,virology,B,,0,none,78,188.0,0.0,194.8
27,high_school_psychology,A,A,1,generated,208,416.8,0.0,426.8
28,elementary_mathematics,B,C,0,generated,93,226.0,0.0,237.0
29,prehistory,B,,0,none,91,204.1,0.0,214.2
30,miscellaneous,B,,0,none,57,149.9,0.0,156.8
31,moral_scenarios,C,,0,none,139,291.7,0.0,300.4
32,anatomy,B,,0,none,109,251.1,0.0,262.5
33,professional_psychology,B,,0,none,61,157.9,0.0,167.7
34,high_school_statistics,D,,0,none,198,393.5,0.0,401.8
35,philosophy,A,A,1,generated,90,206.9,0.0,210.7
36,professional_law,C,C,1,generated,423,773.7,0.0,780.9
37,professional_accounting,C,,0,none,87,215.5,0.0,227.4
38,high_school_psychology,B,,0,none,158,304.6,0.0,312.5
39,high_school_us_history,A,A,1,generated,320,572.5,0.0,586.4
40,astronomy,D,,0,none,95,209.6,0.0,222.4
